Class,Rnorm,Gnorm,Bnorm
1,0.6097560975609756,0.21951219512195122,0.1951219512195122
2,0.6379310344827587,0.1724137931034483,0.27586206896551724
1,0.581081081081081,0.2702702702702703,0.22972972972972974
3,0.4631578947368421,0.3368421052631579,0.24210526315789474
3,0.4270833333333333,0.3854166666666667,0.23958333333333334
2,0.5957446808510638,0.2553191489361702,0.2553191489361702
3,0.4318181818181818,0.38636363636363635,0.23863636363636365
2,0.5185185185185185,0.2222222222222222,0.2962962962962963
1,0.5606060606060606,0.2878787878787879,0.22727272727272727
2,0.6976744186046512,0.16279069767441862,0.23255813953488372
1,0.5692307692307692,0.27692307692307694,0.2153846153846154
2,0.68,0.16,0.24
0,0.42105263157894735,0.3458646616541353,0.3007518796992481
3,0.3855421686746988,0.3855421686746988,0.2891566265060241
1,0.5423728813559322,0.288135593220339,0.23728813559322035
1,0.5806451612903226,0.2903225806451613,0.20967741935483872
3,0.43956043956043955,0.37362637362637363,0.24175824175824176
0,0.47435897435897434,0.3333333333333333,0.23717948717948717
0,0.5277777777777778,0.3333333333333333,0.20833333333333334
1,0.6,0.25,0.21666666666666667
3,0.3611111111111111,0.4583333333333333,0.2638888888888889
1,0.5409836065573771,0.2786885245901639,0.21311475409836064
0,0.5113636363636364,0.3522727272727273,0.2159090909090909
2,0.6521739130434783,0.1956521739130435,0.2608695652173913
3,0.379746835443038,0.3924050632911392,0.27848101265822783
1,0.5657894736842105,0.2894736842105263,0.2236842105263158
0,0.4782608695652174,0.33695652173913043,0.25
3,0.40425531914893614,0.425531914893617,0.23404255319148937
0,0.547945205479452,0.3150684931506849,0.2054794520547945
3,0.4642857142857143,0.35714285714285715,0.21428571428571427
3,0.38095238095238093,0.42857142857142855,0.23809523809523808
2,0.6428571428571429,0.21428571428571427,0.2857142857142857
1,0.589041095890411,0.2465753424657534,0.2191780821917808
0,0.4891304347826087,0.34782608695652173,0.22826086956521738
2,0.6444444444444445,0.17777777777777778,0.26666666666666666
3,0.36666666666666664,0.4222222222222222,0.26666666666666666
0,0.4444444444444444,0.3425925925925926,0.2777777777777778
1,0.6041666666666666,0.2708333333333333,0.20833333333333334
2,0.6511627906976745,0.20930232558139536,0.23255813953488372
2,0.7,0.13333333333333333,0.26666666666666666
1,0.5517241379310345,0.3103448275862069,0.1896551724137931
3,0.3695652173913043,0.42391304347826086,0.2717391304347826
3,0.47435897435897434,0.358974358974359,0.21794871794871795
3,0.45161290322580644,0.3870967741935484,0.22580645161290322
1,0.5769230769230769,0.2692307692307692,0.21153846153846154
2,0.7142857142857143,0.19047619047619047,0.23809523809523808
0,0.5538461538461539,0.3076923076923077,0.2
0,0.5576923076923077,0.3076923076923077,0.19230769230769232
3,0.42857142857142855,0.375,0.25892857142857145
3,0.34782608695652173,0.4492753623188406,0.2753623188405797
2,0.6904761904761905,0.14285714285714285,0.21428571428571427
0,0.5394736842105263,0.3157894736842105,0.19736842105263158
2,0.6923076923076923,0.19230769230769232,0.23076923076923078
2,0.6129032258064516,0.22580645161290322,0.22580645161290322
1,0.6,0.25,0.21666666666666667
3,0.4188034188034188,0.36752136752136755,0.2564102564102564
3,0.44285714285714284,0.38571428571428573,0.22857142857142856
1,0.5454545454545454,0.25,0.22727272727272727
3,0.4,0.42857142857142855,0.22857142857142856
3,0.35365853658536583,0.4024390243902439,0.3048780487804878
3,0.2765957446808511,0.48936170212765956,0.2765957446808511
2,0.6764705882352942,0.17647058823529413,0.23529411764705882
1,0.6176470588235294,0.25,0.20588235294117646
1,0.5737704918032787,0.2459016393442623,0.21311475409836064
2,0.625,0.25,0.2916666666666667
1,0.6,0.23636363636363636,0.21818181818181817
1,0.5833333333333334,0.25,0.1875
1,0.5714285714285714,0.2857142857142857,0.20408163265306123
2,0.6666666666666666,0.18181818181818182,0.24242424242424243
3,0.4444444444444444,0.38095238095238093,0.23809523809523808
3,0.3652173913043478,0.3826086956521739,0.2782608695652174
0,0.4939759036144578,0.3373493975903614,0.24096385542168675
0,0.42727272727272725,0.34545454545454546,0.3
0,0.4444444444444444,0.3425925925925926,0.26851851851851855
3,0.4642857142857143,0.35714285714285715,0.23214285714285715
2,0.6511627906976745,0.20930232558139536,0.27906976744186046
2,0.6153846153846154,0.20512820512820512,0.23076923076923078
3,0.4507042253521127,0.38028169014084506,0.22535211267605634
1,0.5737704918032787,0.2786885245901639,0.19672131147540983
1,0.5614035087719298,0.24561403508771928,0.21052631578947367
1,0.5806451612903226,0.27419354838709675,0.20967741935483872
0,0.4878048780487805,0.3170731707317073,0.23577235772357724
3,0.36904761904761907,0.34523809523809523,0.35714285714285715
2,0.6274509803921569,0.19607843137254902,0.27450980392156865
2,0.6785714285714286,0.17857142857142858,0.21428571428571427
0,0.5061728395061729,0.3333333333333333,0.20987654320987653
0,0.4146341463414634,0.34959349593495936,0.3008130081300813
2,0.65625,0.1875,0.25
3,0.3888888888888889,0.4074074074074074,0.24074074074074073
1,0.5540540540540541,0.28378378378378377,0.20270270270270271
1,0.5526315789473685,0.2894736842105263,0.23684210526315788
1,0.5517241379310345,0.3103448275862069,0.1896551724137931
2,0.673469387755102,0.14285714285714285,0.22448979591836735
3,0.34710743801652894,0.39669421487603307,0.2892561983471074
2,0.6785714285714286,0.21428571428571427,0.21428571428571427
2,0.6285714285714286,0.2,0.22857142857142856
3,0.4567901234567901,0.37037037037037035,0.2222222222222222
1,0.5873015873015873,0.2698412698412698,0.2222222222222222
1,0.5517241379310345,0.29310344827586204,0.2413793103448276
0,0.5,0.3375,0.2
2,0.6129032258064516,0.20967741935483872,0.2903225806451613
0,0.5,0.32142857142857145,0.21428571428571427
3,0.39215686274509803,0.4117647058823529,0.23529411764705882
0,0.4716981132075472,0.33962264150943394,0.24528301886792453
0,0.5274725274725275,0.32967032967032966,0.21978021978021978
3,0.46078431372549017,0.3627450980392157,0.22549019607843138
2,0.6086956521739131,0.2608695652173913,0.2608695652173913
2,0.7272727272727273,0.18181818181818182,0.22727272727272727
1,0.5714285714285714,0.2857142857142857,0.21428571428571427
3,0.375,0.46875,0.28125
1,0.6029411764705882,0.27941176470588236,0.22058823529411764
0,0.5512820512820513,0.32051282051282054,0.19230769230769232
2,0.6486486486486487,0.16216216216216217,0.24324324324324326
3,0.37662337662337664,0.35064935064935066,0.35064935064935066
0,0.5517241379310345,0.3103448275862069,0.1896551724137931
1,0.5517241379310345,0.3103448275862069,0.1896551724137931
0,0.40789473684210525,0.3355263157894737,0.2894736842105263
0,0.5142857142857142,0.35714285714285715,0.21428571428571427
3,0.4745762711864407,0.3728813559322034,0.22033898305084745
2,0.6785714285714286,0.17857142857142858,0.21428571428571427
1,0.5806451612903226,0.27419354838709675,0.22580645161290322
0,0.559322033898305,0.3050847457627119,0.2033898305084746
1,0.5892857142857143,0.26785714285714285,0.19642857142857142
0,0.4845360824742268,0.3402061855670103,0.24742268041237114
1,0.5789473684210527,0.2631578947368421,0.21052631578947367
1,0.5694444444444444,0.2777777777777778,0.20833333333333334
1,0.5769230769230769,0.2692307692307692,0.21153846153846154
0,0.44144144144144143,0.3333333333333333,0.2702702702702703
3,0.46511627906976744,0.37209302325581395,0.23255813953488372
3,0.40476190476190477,0.4166666666666667,0.25
3,0.43564356435643564,0.37623762376237624,0.2376237623762376
1,0.5957446808510638,0.23404255319148937,0.19148936170212766
1,0.55,0.2875,0.2
0,0.463768115942029,0.34057971014492755,0.2391304347826087
1,0.5571428571428572,0.3,0.2
3,0.4107142857142857,0.4107142857142857,0.23214285714285715
0,0.5263157894736842,0.3157894736842105,0.21052631578947367
